Qty,Parts,Value,Device,Package,Description
2,"BOOT, RST",,JMP-2-NO-PTH,JMP-2-NO-PTH-2.54,Two Terminal Jumper - Normally Open
1,LED1,,LEDCHIP-LED0603,CHIP-LED0603,LED
2,"BAT+, BAT-",,Tamiya Battery Cable,Tamiya Battery Cable,Wire Pad - Single
1,C5,0.1uF,CAP0402-CAP,0402-CAP,Capacitor
1,C1,100n,CAP0402-CAP,0402-CAP,Capacitor
6,"R1, R2, R3, R6, R8, R10",10k,RESISTOR0402-TYP,EIA-0402,Resistor
1,F1,1206L050YR,1206L050YR,1206LSERIES,6V/500mA PPTC
1,R5,1k,RESISTOR0402-TYP,EIA-0402,Resistor
3,"C2, C4, C6",1uF,CAP0402-CAP,0402-CAP,Capacitor
2,"R4, R7",220,RESISTOR0402-TYP,EIA-0402,Resistor
2,"D1, D2",28V-5A,SMD-DIODE-SCHOTTKY-28V-5A(DO-214AA),DO-214AA,304020021
1,P3,44764-1201,44764-1201,44764-1201,
1,C3,47u,CAP_POLD,PANASONIC_D,Capacitor Polarized
2,"R9, R11",4k7,RESISTOR0402-TYP,EIA-0402,Resistor
1,ESP1,ESP-WROOM02,ESP-WROOM02,ESP-WROOM02,Espressif ESP-WROOM-02  and AI-Thinker ESP-12 ESP8266 WiFi/WLAN Module
1,P1,POWER_JACKPTH,POWER_JACKPTH,POWER_JACK_PTH,Power Jack
1,P2,USB-B1HSB6,USB-B1HSB6,OST_USB-B1HSB6,Conn Usb Type b r/a Black
