Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "control_03_12_2018.brd" as of: 3/29/2018 4:34:25 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.020,0.935,180
C2,Top,1.020,1.040,180
C3,Top,1.381,0.741,90
C4,Top,1.431,0.816,270
C5,Top,1.450,1.400,180
C6,Top,1.594,0.804,270
C7,Top,1.646,0.804,270
C8,Top,1.699,0.805,270
C9,Top,1.816,0.573,180
C10,Top,2.000,0.580,180
C11,Top,2.210,1.780,270
C12,Top,2.460,1.120,90
C13,Top,2.460,1.380,180
C14,Top,2.462,0.870,180
C15,Top,2.580,1.780,270
C16,Top,2.770,0.610,90
C17,Top,2.822,0.610,90
C18,Top,2.940,1.110,0
C19,Top,2.940,1.161,0
C20,Top,2.983,1.210,180
C21,Top,2.930,0.110,180
C22,Top,3.272,0.531,180
C23,Top,3.272,0.480,180
C24,Top,3.288,1.128,0
C25,Top,3.288,1.179,0
C26,Top,2.930,0.200,180
C27,Top,3.500,0.990,0
C28,Top,3.503,0.879,180
C29,Top,3.190,0.190,270
C30,Top,3.761,0.831,0
C31,Top,3.620,0.700,180
C32,Top,3.620,0.770,180
F1,Top,1.512,0.774,90
J1,Top,3.860,0.350,90
J_ST,Top,2.784,0.439,0
L1,Top,3.500,0.930,0
LED1,Top,3.340,0.100,180
LED2,Top,3.420,0.100,180
LED3,Top,3.500,0.100,180
MUX0X,Top,3.651,1.175,90
MUX1X,Top,1.132,1.573,180
MUX2X,Top,0.657,1.573,180
MUX3X,Top,0.863,1.175,270
P1X,Top,1.706,1.539,180
P2X,Top,3.301,1.539,180
P3X,Top,3.855,1.558,180
R1,Top,1.320,1.420,0
R2,Top,1.642,1.301,0
R3,Top,1.642,1.360,0
R4,Top,2.111,1.065,90
R6,Top,3.268,0.425,180
R8,Top,3.177,0.492,90
R9,Top,3.247,1.228,180
R10,Top,3.610,0.830,180
R11,Top,3.337,0.199,270
R12,Top,3.420,0.200,270
R13,Top,3.500,0.200,270
U1,Top,1.321,1.208,0
U2,Top,1.924,0.836,90
U3,Top,2.420,0.344,270
U4,Top,3.110,0.821,180
U5,Top,3.080,0.190,0
Y1,Top,3.930,0.800,90
