Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "driver_03_12_2018.brd" as of: 3/29/2018 4:34:51 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C201,Top,1.785,3.620,0
C202,Top,1.504,3.608,0
C203,Top,1.884,3.083,90
D201,Top,1.508,3.485,0
D202,Top,1.508,3.353,0
D203,Top,1.508,3.222,0
D204,Top,1.508,3.091,0
D205,Top,2.179,3.096,0
D206,Top,2.179,3.233,0
D207,Top,2.179,3.372,0
D208,Top,2.179,3.509,0
P201,Top,1.588,2.930,0
P202,Top,1.796,3.745,180
R19,Top,2.121,2.955,180
R201,Top,1.320,3.490,0
R202,Top,1.320,3.430,0
R203,Top,1.320,3.370,0
R204,Top,1.320,3.310,0
R205,Top,1.320,3.250,0
R206,Top,1.320,3.190,0
R207,Top,1.320,3.130,0
R208,Top,1.320,3.070,0
R209,Top,1.995,3.074,180
R210,Top,1.995,3.014,180
R211,Top,1.995,3.194,180
R212,Top,1.995,3.134,180
R213,Top,1.995,3.314,180
R214,Top,1.995,3.254,180
R215,Top,1.995,3.434,180
R216,Top,1.995,3.374,180
R217,Top,1.690,3.033,0
R218,Top,1.996,2.955,180
R220,Top,2.247,2.956,0
SJ1,Top,2.034,2.856,270
SJ2,Top,2.160,2.855,270
SJ3,Top,2.280,2.857,270
U201,Top,1.779,3.388,0
