3,,LEDCHIP-LED0603,CHIP-LED0603,"LED1, LED2, LED3",LED,,,,,,,,,,,,,,,,,,,
1,,TC2030-MCP-NL,TC2030-MCP-NL,J_ST,TAG-CONNECT ICSP ConnectorManufacturer: Tag-Connect,,,,,,,,,,,,,,,,,,,
11,100nF,CAP0402-CAP,0402-CAP,"C3, C4, C5, C6, C8, C10, C16, C19, C23, C24, C30",Capacitor,,,,,,,,,,,,,,,,,,,
4,10k,RESISTOR0402-TYP,EIA-0402,"R1, R4, R8, R10",Resistor,,,,,,,,,,,,,,,,,,,
1,10nF,CAP0402-CAP,0402-CAP,C28,Capacitor,,,,,,,,,,,,,,,,,,,
4,10uF,CAP0603-CAP,0603-CAP,"C9, C12, C21, C26",Capacitor,,,,,,,,,,,,,,,,,,,
1,1206L050YR,1206L050YR,1206LSERIES,F1,,,,,,,,,,1206L050YR,,,,,,,,,,Littelfuse Inc
1,120OHM-500MA,SMD-FERRITE-CHIP-120-OHM-500MA(0603),L0603,L1,303030001,,,,,,,,,,,,BLM18AG121SN1D,,,,,,120OHM-500MA,
1,1uF,CAP0402-CAP,0402-CAP,C27,Capacitor,,,,,,,,,,,,,,,,,,,
1,2.2uF,CAP0402-CAP,0402-CAP,C20,Capacitor,,,,,,,,,,,,,,,,,,,
1,3.3V/150mA,V_REG_MIC52053.3V,SOT23-5,U5,"V_REG MIC5205 Standard 3.3V, 5V, and Adjustable 150mA LDO voltage regulator in SOT-23 layout. Micrel part MIC5205. BP (by-pass) pin is used to lower output noise with 470pF cap, may be left open. On the adjustable version BP is used to set output.",,,,,,,,,,,,,,,,,VREG-00822,3.3V/150mA,
2,33pF,CAP0402-CAP,0402-CAP,"C31, C32",Capacitor,,,,,,,,,,,,,,,,,,,
4,4.7k,RESISTOR0402-TYP,EIA-0402,"R2, R3, R6, R9",Resistor,,,,,,,,,,,,,,,,,,,
5,4.7uF,CAP0402-CAP,0402-CAP,"C7, C17, C18, C22, C25",Capacitor,,,,,,,,,,,,,,,,,,,
1,44428-1201,44428-1201,MOLEX_44428-1201,P4X,Conn Wire to Board HDR 12 POS 3mm Solder RA Thru-Hole Micro-Fit 3.0 BMI? Tray,Good,,,Conn Wire to Board HDR 12 POS 3mm Solder RA Thru-Hole Micro-Fit 3.0 BMI? Tray,,,,,,Molex,44428-1201,,None,,,2.39 USD,,,
3,470,RESISTOR0402-TYP,EIA-0402,"R11, R12, R13",Resistor,,,,,,,,,,,,,,,,,,,
